Iteration,Element,bra,ket,Name
0,1.0000000000000053,1,1,overlap
0,-0.00022737524432158703,2,1,overlap
0,0.0007460867360451547,3,1,overlap
0,0.0012933689180104604,4,1,overlap
0,-0.00047474175748455987,5,1,overlap
0,-0.0005316456518300067,6,1,overlap
0,0.00020009909150602674,7,1,overlap
0,-7.237032010029999e-05,8,1,overlap
0,0.001008306319574867,9,1,overlap
0,0.0006351255102943339,10,1,overlap
0,0.0010895252402271097,11,1,overlap
0,0.000488527247676474,12,1,overlap
0,-0.00037032257844626416,13,1,overlap
0,3.6609040394980277e-05,14,1,overlap
0,0.0006959328938918451,15,1,overlap
0,0.00023007270862290905,16,1,overlap
0,0.0003440377071229822,17,1,overlap
0,5.1646966466498004e-05,18,1,overlap
0,-0.0006045794035939423,19,1,overlap
0,0.0012500306859142402,20,1,overlap
0,0.0012769056333520286,21,1,overlap
0,0.00031862181108575915,22,1,overlap
0,-6.383127662775944e-05,23,1,overlap
0,0.00023973729393657502,24,1,overlap
0,-0.0002273752443221951,1,2,overlap
0,1.000000000000016,2,2,overlap
0,0.0003957962252464006,3,2,overlap
0,-0.0002668982471458876,4,2,overlap
0,-0.0006500563969555734,5,2,overlap
0,0.0001696314630406215,6,2,overlap
0,-0.00044280163877261737,7,2,overlap
0,-0.0003109862367268012,8,2,overlap
0,-0.0010780742069111016,9,2,overlap
0,-0.0005044822568211239,10,2,overlap
0,-0.0009849179313109906,11,2,overlap
0,2.15208994215782e-05,12,2,overlap
0,0.00028452472335384517,13,2,overlap
0,0.00012922559702666613,14,2,overlap
0,-0.0008680391320050773,15,2,overlap
0,0.00047194344418365243,16,2,overlap
0,-2.9816825721745265e-06,17,2,overlap
0,0.00020065544633961227,18,2,overlap
0,0.00023292211118559292,19,2,overlap
0,-0.0007959812011303647,20,2,overlap
0,-0.0018151511795746213,21,2,overlap
0,0.00012734769108120679,22,2,overlap
0,1.2220833399769173e-06,23,2,overlap
0,0.00018752976354683088,24,2,overlap
0,0.000746086736049238,1,3,overlap
0,0.0003957962252457152,2,3,overlap
0,1.0000000000000113,3,3,overlap
0,0.00022693282986628585,4,3,overlap
0,0.00047208902881742086,5,3,overlap
0,-0.0006313420796062218,6,3,overlap
0,0.0003592441938275136,7,3,overlap
0,0.0004020567025502636,8,3,overlap
0,0.00019679846937104695,9,3,overlap
0,2.0188307421686027e-06,10,3,overlap
0,0.0003479907817302732,11,3,overlap
0,-0.00027551519720797434,12,3,overlap
0,-3.352265815445033e-05,13,3,overlap
0,0.00046049230674804597,14,3,overlap
0,-0.0001524435580601644,15,3,overlap
0,-0.00010214136548325417,16,3,overlap
0,-0.00025858903858292205,17,3,overlap
0,-0.0002751767508049534,18,3,overlap
0,0.00032466414208940796,19,3,overlap
0,5.834323945106638e-05,20,3,overlap
0,0.0011720860890939982,21,3,overlap
0,-0.0005080221925394253,22,3,overlap
0,2.83783842572653e-05,23,3,overlap
0,-5.330980701778981e-05,24,3,overlap
0,0.0012933689180084364,1,4,overlap
0,-0.0002668982471471687,2,4,overlap
0,0.00022693282986592465,3,4,overlap
0,1.0000000000000027,4,4,overlap
0,-0.0004124187810966132,5,4,overlap
0,-0.0002985506383191337,6,4,overlap
0,-0.0001286829873864009,7,4,overlap
0,0.00023048146180154779,8,4,overlap
0,-8.521925833287862e-05,9,4,overlap
0,-0.0003940859108312199,10,4,overlap
0,0.00013500907260925689,11,4,overlap
0,-0.0004650519095449135,12,4,overlap
0,0.00010715625009942773,13,4,overlap
0,0.00013288085049811306,14,4,overlap
0,-0.00025838515768139125,15,4,overlap
0,-2.1960286622023275e-05,16,4,overlap
0,-0.00016261856789650782,17,4,overlap
0,-0.0006574202542052425,18,4,overlap
0,-0.00028336808721790877,19,4,overlap
0,-4.694776377186809e-06,20,4,overlap
0,0.0005873641363934664,21,4,overlap
0,2.0434871232071785e-05,22,4,overlap
0,2.598967091145749e-05,23,4,overlap
0,-0.00023623772370730614,24,4,overlap
0,-0.00047474175748333624,1,5,overlap
0,-0.0006500563969541274,2,5,overlap
0,0.00047208902881618926,3,5,overlap
0,-0.0004124187810991582,4,5,overlap
0,0.999999999999995,5,5,overlap
0,-0.00013720452287359876,6,5,overlap
0,3.136679559382217e-05,7,5,overlap
0,0.000148920069816952,8,5,overlap
0,-0.00028978161384852433,9,5,overlap
0,0.00022558241018174826,10,5,overlap
0,-0.0003424239422022549,11,5,overlap
0,9.073557146114012e-05,12,5,overlap
0,-0.00012975860816414204,13,5,overlap
0,0.0001924606802396105,14,5,overlap
0,0.00011604129409139511,15,5,overlap
0,-7.834870462943656e-05,16,5,overlap
0,0.00017767597113092288,17,5,overlap
0,0.00022011729082078491,18,5,overlap
0,0.0003684834569747741,19,5,overlap
0,-4.9127872391549665e-05,20,5,overlap
0,-6.237261476582141e-05,21,5,overlap
0,-0.00016415058643724138,22,5,overlap
0,3.1012196833632015e-05,23,5,overlap
0,0.00010575713847861502,24,5,overlap
0,-0.0005316456518304402,1,6,overlap
0,0.0001696314630413564,2,6,overlap
0,-0.0006313420796070159,3,6,overlap
0,-0.0002985506383183255,4,6,overlap
0,-0.00013720452287270578,5,6,overlap
0,1.000000000000007,6,6,overlap
0,-6.267106608807739e-05,7,6,overlap
0,9.353032989588277e-05,8,6,overlap
0,8.085836529080863e-05,9,6,overlap
0,5.163324360654473e-05,10,6,overlap
0,5.5667830571722775e-05,11,6,overlap
0,-0.00019659611041763955,12,6,overlap
0,3.364731240951966e-05,13,6,overlap
0,-0.00012193407507163055,14,6,overlap
0,-1.1270642080475269e-05,15,6,overlap
0,-0.0002469019463208059,16,6,overlap
0,0.0002422320002040741,17,6,overlap
0,-0.00011270708997868241,18,6,overlap
0,0.00023068321590010351,19,6,overlap
0,0.0001326728619961519,20,6,overlap
0,-9.256245616399044e-05,21,6,overlap
0,-0.00042538427243468934,22,6,overlap
